Date,Open,High,Low,Close,Volume,AdjustedClose
20230306,4790.000,4800.000,4780.000,4790.000,78880100,4790.000
20230307,4770.000,4850.000,4770.000,4840.000,98412500,4840.000
20230308,4850.000,4850.000,4820.000,4840.000,103767800,4840.000
20230309,4860.000,4870.000,4810.000,4810.000,79549800,4810.000
20230310,4820.000,4830.000,4800.000,4820.000,125157100,4820.000
20230313,4810.000,4870.000,4770.000,4830.000,106769300,4830.000
20230314,4770.000,4790.000,4690.000,4710.000,193559600,4710.000
20230315,4760.000,4770.000,4700.000,4700.000,89886400,4700.000
20230316,4700.000,4750.000,4640.000,4730.000,141491300,4730.000
20230317,4770.000,4900.000,4750.000,4900.000,204810200,4900.000
20230320,4840.000,4880.000,4820.000,4880.000,114461300,4880.000
20230321,4870.000,4920.000,4840.000,4900.000,193095400,4900.000
20230324,4750.000,4820.000,4720.000,4770.000,311147800,4770.000
20230327,4750.000,4790.000,4720.000,4740.000,144957300,4740.000
20230328,4740.000,4780.000,4740.000,4770.000,88575500,4770.000
20230329,4800.000,4820.000,4770.000,4810.000,112591000,4810.000
20230330,4810.000,4810.000,4740.000,4750.000,98853500,4750.000
20230331,4730.000,4750.000,4710.000,4730.000,161595700,4730.000
20230403,4770.000,4800.000,4760.000,4800.000,115874700,4800.000
20230404,4800.000,4820.000,4760.000,4820.000,65766900,4820.000
20230405,4810.000,4880.000,4800.000,4830.000,119450400,4830.000
20230406,4860.000,4860.000,4820.000,4840.000,88035900,4840.000
20230410,4860.000,4860.000,4820.000,4860.000,40466300,4860.000
20230411,4860.000,4890.000,4830.000,4880.000,67172500,4880.000
20230412,4950.000,4950.000,4890.000,4930.000,166993800,4930.000
20230413,4950.000,5000.000,4930.000,4980.000,179405400,4980.000
20230414,5050.000,5100.000,5000.000,5075.000,168228700,5075.000
20230417,5075.000,5075.000,4960.000,4990.000,121238600,4990.000
20230418,4990.000,5025.000,4950.000,4950.000,96867000,4950.000
20230426,5150.000,5150.000,4930.000,5025.000,273336000,5025.000
20230427,4990.000,5150.000,4990.000,5150.000,161579000,5150.000
20230428,5175.000,5275.000,5100.000,5100.000,251912000,5100.000
20230502,5175.000,5175.000,5050.000,5150.000,113287400,5150.000
20230503,5225.000,5225.000,5050.000,5100.000,152483900,5100.000
20230504,5150.000,5175.000,5075.000,5150.000,120038600,5150.000
